Date,KBANK
2009-09-22,78.0
2009-09-23,79.0
2009-09-24,80.5
2009-09-25,81.5
2009-09-28,79.85
2009-09-29,80.5
2009-09-30,81.35
2009-10-01,83.85
2009-10-02,84.35
2009-10-05,84.15
2009-10-06,85.85
2009-10-07,89.0
2009-10-08,89.6
2009-10-09,90.25
2009-10-12,90.1
2009-10-13,89.5
2009-10-14,87.85
2009-10-15,83.8
2009-10-16,83.15
2009-10-19,85.5
2009-10-20,86.65
2009-10-21,84.9
2009-10-22,82.4
2009-10-26,81.9
2009-10-27,81.9
2009-10-28,82.3
2009-10-29,79.5
2009-10-30,79.15
2009-11-02,77.75
2009-11-03,77.0
2009-11-04,78.1
2009-11-05,78.8
2009-11-06,80.8
2009-11-09,82.4
2009-11-10,82.75
2009-11-11,82.9
2009-11-12,82.25
2009-11-13,81.9
2009-11-16,82.65
2009-11-17,83.4
2009-11-18,85.15
2009-11-19,84.5
2009-11-20,82.65
2009-11-23,81.65
2009-11-24,80.6
2009-11-25,82.1
2009-11-26,82.35
2009-11-27,80.6
2009-11-30,84.75
2009-12-01,85.35
2009-12-02,84.65
2009-12-03,84.4
2009-12-04,84.15
2009-12-08,83.65
2009-12-09,83.4
2009-12-11,83.5
2009-12-14,84.0
2009-12-15,83.85
2009-12-16,84.25
2009-12-17,84.5
2009-12-18,83.75
2009-12-21,83.2
2009-12-22,84.15
2009-12-23,84.9
2009-12-24,85.0
2009-12-25,85.0
2009-12-28,84.9
2009-12-29,85.25
2009-12-30,85.25
2010-01-04,84.75
2010-01-05,84.75
2010-01-06,85.4
2010-01-07,86.65
2010-01-08,87.75
2010-01-11,88.0
2010-01-12,87.6
2010-01-13,87.75
2010-01-14,88.15
2010-01-15,87.25
2010-01-18,86.0
2010-01-19,85.4
2010-01-20,84.4
2010-01-21,83.0
2010-01-22,81.85
2010-01-25,82.65
2010-01-26,83.0
2010-01-27,81.85
2010-01-28,81.75
2010-01-29,81.75
2010-02-01,82.65
2010-02-02,82.65
2010-02-03,83.1
2010-02-04,82.7
2010-02-05,80.25
2010-02-08,79.0
2010-02-09,78.75
2010-02-10,79.8
2010-02-11,79.65
2010-02-12,79.8
2010-02-15,78.65
2010-02-16,78.4
2010-02-17,80.0
2010-02-18,80.0
2010-02-19,79.65
2010-02-22,80.35
2010-02-23,81.6
2010-02-24,83.9
2010-02-25,85.65
2010-02-26,86.0
2010-03-02,87.65
2010-03-03,88.5
2010-03-04,87.75
2010-03-05,88.15
2010-03-08,87.9
2010-03-09,86.85
2010-03-10,86.1
2010-03-11,86.5
2010-03-12,87.6
2010-03-15,88.25
2010-03-16,89.3
2010-03-17,91.3
2010-03-18,91.7
2010-03-19,94.25
2010-03-22,96.65
2010-03-23,97.6
2010-03-24,98.8
2010-03-25,100.0
2010-03-26,99.0
2010-03-29,96.25
2010-03-30,96.4
2010-03-31,97.35
2010-04-01,97.8
2010-04-02,97.85
2010-04-05,97.3
2010-04-07,100.15
2010-04-08,98.5
2010-04-09,96.2
2010-04-12,92.0
2010-04-16,88.4
2010-04-19,85.1
2010-04-20,89.25
2010-04-21,91.25
2010-04-22,92.0
2010-04-23,90.9
2010-04-26,92.4
2010-04-27,90.9
2010-04-28,89.65
2010-04-29,90.0
2010-04-30,90.2
2010-05-04,93.7
2010-05-06,95.35
2010-05-07,90.6
2010-05-10,91.5
2010-05-11,92.0
2010-05-12,90.85
2010-05-13,90.75
2010-05-14,89.6
2010-05-17,86.5
2010-05-18,87.1
2010-05-19,87.25
2010-05-20,88.0
2010-05-21,88.0
2010-05-24,87.25
2010-05-25,84.4
2010-05-26,84.0
2010-05-27,84.25
2010-05-31,86.85
2010-06-01,87.2
2010-06-02,86.8
2010-06-03,88.6
2010-06-04,89.7
2010-06-07,88.65
2010-06-08,88.5
2010-06-09,88.4
2010-06-10,89.6
2010-06-11,91.1
2010-06-14,91.65
2010-06-15,90.9
2010-06-16,91.85
2010-06-17,92.5
2010-06-18,92.6
2010-06-21,94.5
2010-06-22,94.65
2010-06-23,93.75
2010-06-24,91.85
2010-06-25,90.75
2010-06-28,91.4
2010-06-29,91.75
2010-06-30,90.9
2010-07-02,90.65
2010-07-05,90.65
2010-07-06,91.0
2010-07-07,91.6
2010-07-08,92.35
2010-07-09,93.1
2010-07-12,94.1
2010-07-13,93.9
2010-07-14,93.6
2010-07-15,92.85
2010-07-16,93.35
2010-07-19,93.9
2010-07-20,94.0
2010-07-21,94.5
2010-07-22,95.5
2010-07-23,98.0
2010-07-27,101.75
2010-07-28,103.5
2010-07-29,102.75
2010-07-30,101.5
2010-08-02,101.25
2010-08-03,102.0
2010-08-04,103.25
2010-08-05,105.0
2010-08-06,105.25
2010-08-09,104.25
2010-08-10,102.5
2010-08-11,102.25
2010-08-16,101.25
2010-08-17,101.5
2010-08-18,103.0
2010-08-19,105.0
2010-08-20,106.0
2010-08-23,107.5
