Date,ROBINS
2011-06-06,29.5
2011-06-07,29.25
2011-06-08,28.9
2011-06-09,28.75
2011-06-10,29.4
2011-06-13,29.25
2011-06-14,30.0
2011-06-15,30.5
2011-06-16,30.25
2011-06-17,30.35
2011-06-20,30.35
2011-06-21,30.35
2011-06-22,30.8
2011-06-23,30.6
2011-06-24,30.6
2011-06-27,30.1
2011-06-28,30.5
2011-06-29,30.75
2011-06-30,31.4
2011-07-04,33.0
2011-07-05,32.6
2011-07-06,32.8
2011-07-07,33.0
2011-07-08,33.1
2011-07-11,32.9
2011-07-12,32.5
2011-07-13,33.1
2011-07-14,33.6
2011-07-18,34.35
2011-07-19,34.5
2011-07-20,34.4
2011-07-21,33.65
2011-07-22,33.35
2011-07-25,33.75
2011-07-26,34.5
2011-07-27,36.0
2011-07-28,37.0
2011-07-29,37.65
2011-08-01,37.5
2011-08-02,37.8
2011-08-03,37.25
2011-08-04,36.25
2011-08-05,33.85
2011-08-08,34.9
2011-08-09,35.1
2011-08-10,36.65
2011-08-11,36.7
2011-08-15,38.35
2011-08-16,39.6
2011-08-17,40.35
2011-08-18,39.6
2011-08-19,37.5
2011-08-22,38.6
2011-08-23,39.0
2011-08-24,39.0
2011-08-25,38.2
2011-08-26,36.6
2011-08-29,37.25
2011-08-30,37.1
2011-08-31,38.25
2011-09-01,39.35
2011-09-02,39.8
2011-09-05,38.85
2011-09-06,38.0
2011-09-07,38.35
2011-09-08,38.2
2011-09-09,38.65
2011-09-12,37.6
2011-09-13,37.35
2011-09-14,37.25
2011-09-15,37.35
2011-09-16,38.25
2011-09-19,37.6
2011-09-20,36.6
2011-09-21,36.5
2011-09-22,36.75
2011-09-23,35.65
2011-09-26,33.6
2011-09-27,34.1
2011-09-28,33.15
2011-09-29,32.65
2011-09-30,33.0
2011-10-03,31.6
2011-10-04,30.15
2011-10-05,29.65
2011-10-06,29.9
2011-10-07,31.15
2011-10-10,31.85
2011-10-11,33.5
2011-10-12,33.9
2011-10-13,34.0
2011-10-14,34.25
2011-10-17,34.4
2011-10-18,32.25
2011-10-19,32.35
2011-10-20,31.0
2011-10-21,30.85
2011-10-25,33.0
2011-10-26,32.65
2011-10-27,33.0
2011-10-28,33.65
2011-10-31,33.0
2011-11-01,32.85
2011-11-02,32.75
2011-11-03,31.6
2011-11-04,32.0
2011-11-07,31.65
2011-11-08,32.5
2011-11-09,33.5
2011-11-10,32.65
2011-11-11,33.65
2011-11-14,34.25
2011-11-15,34.65
2011-11-16,35.1
2011-11-17,35.5
2011-11-18,34.65
2011-11-21,33.4
2011-11-22,33.1
2011-11-23,33.35
2011-11-24,34.0
2011-11-25,34.0
2011-11-28,34.6
2011-11-29,35.4
2011-11-30,36.0
2011-12-01,38.0
2011-12-02,40.1
2011-12-06,40.75
2011-12-07,40.4
2011-12-08,39.15
2011-12-09,38.2
2011-12-13,39.1
2011-12-14,41.0
2011-12-15,41.35
2011-12-16,41.5
2011-12-19,41.4
2011-12-20,42.25
2011-12-21,42.9
2011-12-22,42.65
2011-12-23,42.9
2011-12-26,43.0
2011-12-27,42.9
2011-12-28,42.1
2011-12-29,41.5
2011-12-30,42.65
2012-01-04,42.35
2012-01-05,41.6
2012-01-06,41.15
2012-01-09,42.35
2012-01-10,43.3
2012-01-11,42.75
2012-01-12,42.75
2012-01-13,42.35
2012-01-16,41.5
2012-01-17,42.1
2012-01-18,41.5
2012-01-19,41.5
2012-01-20,42.4
2012-01-23,42.6
2012-01-24,42.35
2012-01-25,42.85
2012-01-26,42.5
2012-01-27,42.6
2012-01-30,42.5
2012-01-31,42.0
2012-02-01,41.85
2012-02-02,41.6
2012-02-03,42.15
2012-02-06,42.65
2012-02-07,42.35
2012-02-08,43.0
2012-02-09,43.5
2012-02-10,43.0
2012-02-13,42.85
2012-02-14,42.65
2012-02-15,42.8
2012-02-16,43.15
2012-02-17,44.5
2012-02-20,45.4
2012-02-21,45.0
2012-02-22,44.85
2012-02-23,46.35
2012-02-24,47.25
2012-02-27,46.35
2012-02-28,45.85
2012-02-29,46.4
2012-03-01,47.25
2012-03-02,48.15
2012-03-05,47.8
2012-03-06,47.9
2012-03-08,48.2
2012-03-09,48.75
2012-03-12,49.4
2012-03-13,50.25
2012-03-14,51.0
2012-03-15,50.4
2012-03-16,50.35
2012-03-19,52.0
2012-03-20,51.75
2012-03-21,51.6
2012-03-22,50.4
2012-03-23,50.5
2012-03-26,50.25
2012-03-27,49.9
2012-03-28,50.65
2012-03-29,50.9
2012-03-30,51.1
2012-04-02,51.5
2012-04-03,51.6
2012-04-04,51.0
2012-04-05,50.65
2012-04-10,49.85
2012-04-11,49.0
2012-04-12,50.25
2012-04-17,50.5
2012-04-18,50.4
2012-04-19,49.9
2012-04-20,49.9
2012-04-23,50.6
2012-04-24,51.4
2012-04-25,52.5
2012-04-26,53.5
2012-04-27,53.25
2012-04-30,53.2
2012-05-02,54.1
2012-05-03,56.1
2012-05-04,57.6
2012-05-08,56.85
2012-05-09,56.0
2012-05-10,55.25
2012-05-11,56.35
2012-05-14,55.25
2012-05-15,54.6
2012-05-16,53.75
2012-05-17,54.6
2012-05-18,53.15
2012-05-21,53.1
2012-05-22,54.25
2012-05-23,54.35
2012-05-24,54.0
2012-05-25,54.35
2012-05-28,57.5
2012-05-29,58.75
2012-05-30,58.5
2012-05-31,58.25
2012-06-01,57.25
2012-06-05,55.0
2012-06-06,55.25
2012-06-07,57.25
2012-06-08,58.0
2012-06-11,62.65
2012-06-12,62.0
2012-06-13,61.0
2012-06-14,60.0
2012-06-15,60.5
2012-06-18,61.25
2012-06-19,60.5
2012-06-20,59.9
2012-06-21,59.75
2012-06-22,59.9
2012-06-25,59.8
2012-06-26,59.65
2012-06-27,60.1
2012-06-28,60.0
2012-06-29,61.25
2012-07-02,61.4
2012-07-03,61.0
2012-07-04,60.9
2012-07-05,60.15
2012-07-06,59.9
2012-07-09,60.15
2012-07-10,60.5
2012-07-11,59.75
2012-07-12,59.7
2012-07-13,59.9
2012-07-16,60.0
2012-07-17,60.75
2012-07-18,61.4
2012-07-19,63.15
2012-07-20,63.1
2012-07-23,61.4
2012-07-24,60.3
2012-07-25,59.75
2012-07-26,60.0
2012-07-27,59.35
2012-07-30,59.75
2012-07-31,60.5
2012-08-01,61.35
2012-08-03,60.7
2012-08-06,60.65
2012-08-07,60.5
2012-08-08,60.4
2012-08-09,59.7
2012-08-10,59.6
2012-08-14,59.75
2012-08-15,59.5
2012-08-16,59.75
2012-08-17,60.15
2012-08-20,60.25
2012-08-21,60.0
2012-08-22,59.9
2012-08-23,62.35
2012-08-24,64.35
2012-08-27,64.5
2012-08-28,63.25
2012-08-29,62.0
2012-08-30,61.35
2012-08-31,61.65
2012-09-03,61.35
2012-09-04,61.2
2012-09-05,62.1
2012-09-06,63.1
2012-09-07,63.2
2012-09-10,63.65
2012-09-11,63.6
2012-09-12,64.0
2012-09-13,63.65
2012-09-14,64.65
2012-09-17,64.4
2012-09-18,63.1
2012-09-19,62.8
2012-09-20,63.35
2012-09-21,63.15
2012-09-24,62.2
2012-09-25,62.7
2012-09-26,63.35
2012-09-27,63.85
2012-09-28,64.65
2012-10-01,65.0
2012-10-02,65.75
2012-10-03,65.4
2012-10-04,65.25
2012-10-05,64.75
2012-10-08,63.25
2012-10-09,61.75
2012-10-10,60.0
2012-10-11,58.2
2012-10-12,57.9
2012-10-15,57.7
2012-10-16,58.9
2012-10-17,61.4
2012-10-18,62.25
2012-10-19,62.0
2012-10-22,61.5
2012-10-24,62.1
2012-10-25,61.35
2012-10-26,59.85
2012-10-29,60.25
2012-10-30,60.15
2012-10-31,61.0
2012-11-01,61.1
2012-11-02,61.5
2012-11-05,62.25
2012-11-06,61.9
2012-11-07,61.85
2012-11-08,61.9
2012-11-09,61.25
2012-11-12,61.6
2012-11-13,61.75
2012-11-14,62.1
2012-11-15,61.35
2012-11-16,60.75
2012-11-19,60.1
2012-11-20,60.2
2012-11-21,60.0
2012-11-22,61.0
2012-11-23,61.9
2012-11-26,63.4
2012-11-27,63.75
2012-11-28,64.1
2012-11-29,63.6
2012-11-30,61.0
2012-12-03,62.0
2012-12-04,62.65
2012-12-06,61.9
2012-12-07,62.15
2012-12-11,62.65
2012-12-12,63.4
2012-12-13,64.3
2012-12-14,64.9
2012-12-17,64.5
2012-12-18,64.25
2012-12-19,66.7
