Date,MINT
2008-12-12,5.300000000000001
2008-12-15,5.35
2008-12-16,5.6
2008-12-17,5.75
2008-12-18,5.75
2008-12-19,6.05
2008-12-22,6.199999999999999
2008-12-23,6.1
2008-12-24,6.25
2008-12-25,6.550000000000001
2008-12-26,6.85
2008-12-29,7.0
2008-12-30,7.15
2009-01-02,6.5
2009-01-05,7.699999999999999
2009-01-06,7.85
2009-01-07,7.4
2009-01-08,7.35
2009-01-09,7.4
2009-01-12,7.05
2009-01-13,7.0
2009-01-14,7.1
2009-01-15,7.1
2009-01-16,7.15
2009-01-19,7.15
2009-01-20,7.0
2009-01-21,6.95
2009-01-22,7.0
2009-01-23,6.85
2009-01-26,6.5
2009-01-27,6.5
2009-01-28,6.55
2009-01-29,6.55
2009-01-30,6.5
2009-02-02,6.5
2009-02-03,6.5
2009-02-04,6.5
2009-02-05,6.5
2009-02-06,6.65
2009-02-10,6.9
2009-02-11,7.0
2009-02-12,6.85
2009-02-13,6.6
2009-02-16,6.75
2009-02-17,6.65
2009-02-18,6.6
2009-02-19,6.55
2009-02-20,6.5
2009-02-23,6.5
2009-02-24,6.5
2009-02-25,6.55
2009-02-26,6.45
2009-02-27,6.5
2009-03-02,5.75
2009-03-03,5.550000000000001
2009-03-04,5.85
2009-03-05,5.9
2009-03-06,5.8
2009-03-09,5.65
2009-03-10,5.5
2009-03-11,5.5
2009-03-12,5.55
2009-03-13,5.699999999999999
2009-03-16,5.85
2009-03-17,5.9
2009-03-18,5.9
2009-03-19,5.9
2009-03-20,5.800000000000001
2009-03-23,5.800000000000001
2009-03-24,6.050000000000001
2009-03-25,6.15
2009-03-26,6.25
2009-03-27,6.1
2009-03-30,5.9
2009-03-31,5.800000000000001
2009-04-01,5.800000000000001
2009-04-02,5.85
2009-04-03,5.95
2009-04-07,5.550000000000001
2009-04-08,5.65
2009-04-09,5.65
2009-04-10,5.7
2009-04-16,5.45
2009-04-17,5.65
2009-04-20,5.800000000000001
2009-04-21,5.8
2009-04-22,5.75
2009-04-23,5.7
2009-04-24,6.0
2009-04-27,6.0
2009-04-28,5.8
2009-04-29,5.75
2009-04-30,5.85
2009-05-04,5.699999999999999
2009-05-06,6.25
2009-05-07,6.85
2009-05-11,6.35
2009-05-12,6.699999999999999
2009-05-13,6.65
2009-05-14,6.35
2009-05-15,6.25
2009-05-18,6.2
2009-05-19,6.6
2009-05-20,6.75
2009-05-21,6.6
2009-05-22,6.5
2009-05-25,6.5
2009-05-26,6.5
2009-05-27,6.699999999999999
2009-05-28,6.75
2009-05-29,6.949999999999999
2009-06-01,7.25
2009-06-02,7.05
2009-06-03,7.199999999999999
2009-06-04,7.550000000000001
2009-06-05,8.05
2009-06-08,8.15
2009-06-09,8.0
2009-06-10,8.3
2009-06-11,8.45
2009-06-12,8.2
2009-06-15,8.0
2009-06-16,7.4
2009-06-17,7.25
2009-06-18,7.35
2009-06-19,7.35
2009-06-22,7.45
2009-06-23,7.1
2009-06-24,7.05
2009-06-25,7.3
2009-06-26,7.5
2009-06-29,7.35
2009-06-30,7.35
2009-07-02,6.85
2009-07-03,7.05
2009-07-06,6.4
2009-07-08,6.65
2009-07-09,6.9
2009-07-10,6.800000000000001
2009-07-13,6.6
2009-07-14,6.6
2009-07-15,6.7
2009-07-16,6.65
2009-07-17,6.6
2009-07-20,6.85
2009-07-21,6.95
2009-07-22,7.2
2009-07-23,7.4
2009-07-24,7.45
2009-07-27,7.6
2009-07-28,7.6
2009-07-29,7.6
2009-07-30,7.6
2009-07-31,7.75
2009-08-03,7.85
2009-08-04,7.95
2009-08-05,7.9
2009-08-06,7.75
2009-08-07,7.75
2009-08-10,7.85
2009-08-11,7.75
2009-08-13,7.65
2009-08-14,8.25
2009-08-17,8.1
2009-08-18,8.149999999999999
2009-08-19,8.25
2009-08-20,8.55
2009-08-21,9.100000000000001
2009-08-24,9.25
2009-08-25,9.35
2009-08-26,9.75
2009-08-27,10.1
2009-08-28,10.3
2009-08-31,9.8
2009-09-01,9.55
2009-09-02,9.5
2009-09-03,9.45
2009-09-04,9.5
2009-09-07,9.6
2009-09-08,9.7
2009-09-09,9.649999999999999
2009-09-10,9.7
2009-09-11,9.7
2009-09-14,9.55
2009-09-15,9.65
2009-09-16,9.8
2009-09-17,9.75
2009-09-18,10.05
2009-09-21,10.55
2009-09-22,10.850000000000001
2009-09-23,11.35
2009-09-24,11.25
2009-09-25,10.95
2009-09-28,10.7
2009-09-29,11.100000000000001
2009-09-30,11.3
2009-10-01,11.350000000000001
2009-10-02,11.3
2009-10-05,11.35
2009-10-06,11.15
2009-10-07,10.95
2009-10-08,10.95
2009-10-09,11.1
2009-10-12,11.149999999999999
2009-10-13,11.2
2009-10-14,11.05
2009-10-15,10.55
2009-10-16,10.25
2009-10-19,10.7
2009-10-20,10.65
2009-10-21,10.35
2009-10-22,9.95
2009-10-26,9.55
2009-10-27,10.0
2009-10-28,9.9
2009-10-29,9.55
2009-10-30,9.7
2009-11-02,9.55
2009-11-03,9.6
2009-11-04,9.95
2009-11-05,9.95
2009-11-06,10.2
2009-11-09,10.35
2009-11-10,10.4
2009-11-11,10.45
2009-11-12,10.3
2009-11-13,10.1
2009-11-16,10.05
2009-11-17,10.0
2009-11-18,9.75
2009-11-19,9.6
2009-11-20,9.5
2009-11-23,9.6
2009-11-24,9.5
2009-11-25,9.6
2009-11-26,9.55
2009-11-27,9.45
2009-11-30,9.65
2009-12-01,9.75
2009-12-02,9.65
2009-12-03,9.7
2009-12-04,8.95
2009-12-08,9.6
2009-12-09,10.2
2009-12-11,9.9
2009-12-14,10.55
2009-12-15,10.55
2009-12-16,10.45
2009-12-17,10.25
2009-12-18,10.3
2009-12-21,10.4
2009-12-22,10.5
2009-12-23,10.5
2009-12-24,9.55
2009-12-25,10.649999999999999
2009-12-28,10.6
2009-12-29,9.45
2009-12-30,10.3
2010-01-04,9.75
2010-01-05,10.350000000000001
2010-01-06,10.55
2010-01-07,10.85
2010-01-08,11.149999999999999
2010-01-11,11.05
2010-01-12,10.8
2010-01-13,10.7
2010-01-14,10.75
2010-01-15,10.7
2010-01-18,9.649999999999999
2010-01-19,10.55
2010-01-20,10.25
2010-01-21,10.05
2010-01-22,9.95
2010-01-25,9.850000000000001
2010-01-26,9.95
2010-01-27,9.7
2010-01-28,9.45
2010-01-29,9.600000000000001
2010-02-01,9.8
2010-02-02,9.149999999999999
2010-02-03,10.25
2010-02-04,10.149999999999999
2010-02-05,9.95
2010-02-08,9.850000000000001
2010-02-09,9.75
2010-02-10,9.7
2010-02-11,9.85
2010-02-12,9.9
2010-02-15,9.75
2010-02-16,9.6
2010-02-17,9.6
2010-02-18,9.5
2010-02-19,9.5
2010-02-22,9.5
2010-02-23,9.55
2010-02-24,9.55
2010-02-25,9.55
2010-02-26,9.649999999999999
2010-03-02,9.95
2010-03-03,10.4
2010-03-04,10.4
2010-03-05,10.25
2010-03-08,10.05
2010-03-09,9.850000000000001
2010-03-10,9.850000000000001
2010-03-11,9.95
2010-03-12,10.1
2010-03-15,10.1
2010-03-16,10.25
2010-03-17,10.45
2010-03-18,10.35
2010-03-19,10.25
2010-03-22,10.2
2010-03-23,10.4
2010-03-24,10.4
2010-03-25,10.2
2010-03-26,9.95
2010-03-29,9.95
2010-03-30,10.05
2010-03-31,10.15
2010-04-01,10.1
2010-04-02,10.1
2010-04-05,9.9
2010-04-07,9.7
2010-04-08,9.25
2010-04-09,9.25
2010-04-12,8.8
2010-04-16,8.350000000000001
2010-04-19,8.2
2010-04-20,8.55
2010-04-21,8.6
2010-04-22,8.55
2010-04-23,8.55
2010-04-26,8.7
2010-04-27,8.55
2010-04-28,8.55
2010-04-29,8.75
2010-04-30,7.9
2010-05-04,8.5
2010-05-06,8.55
2010-05-07,8.25
2010-05-10,8.25
2010-05-11,8.350000000000001
2010-05-12,8.350000000000001
2010-05-13,8.3
2010-05-14,8.2
2010-05-17,7.95
2010-05-18,7.95
2010-05-19,7.95
2010-05-20,7.883333333333334
2010-05-21,7.816666666666666
2010-05-24,7.75
2010-05-25,7.35
2010-05-26,7.4
2010-05-27,7.6
2010-05-31,7.8
2010-06-01,7.9
2010-06-02,7.9
2010-06-03,8.2
2010-06-04,8.3
2010-06-07,8.2
2010-06-08,8.25
2010-06-09,8.25
2010-06-10,8.3
2010-06-11,8.350000000000001
2010-06-14,8.4
2010-06-15,8.4
2010-06-16,8.350000000000001
2010-06-17,8.350000000000001
2010-06-18,8.350000000000001
2010-06-21,8.55
2010-06-22,8.6
2010-06-23,8.649999999999999
2010-06-24,8.55
2010-06-25,8.4
2010-06-28,8.5
2010-06-29,8.4
2010-06-30,8.3
2010-07-02,8.4
2010-07-05,8.55
2010-07-06,8.7
2010-07-07,9.05
2010-07-08,9.0
2010-07-09,8.95
2010-07-12,9.1
2010-07-13,9.05
2010-07-14,9.0
2010-07-15,8.9
2010-07-16,8.9
2010-07-19,8.8
2010-07-20,8.75
2010-07-21,8.75
2010-07-22,8.850000000000001
2010-07-23,9.0
2010-07-27,9.1
2010-07-28,9.15
2010-07-29,9.1
2010-07-30,9.149999999999999
2010-08-02,9.05
2010-08-03,9.1
2010-08-04,9.1
2010-08-05,9.3
2010-08-06,9.45
2010-08-09,9.4
2010-08-10,9.4
2010-08-11,9.3
2010-08-16,9.1
2010-08-17,9.0
2010-08-18,9.15
2010-08-19,9.3
2010-08-20,9.350000000000001
2010-08-23,9.350000000000001
2010-08-24,9.3
2010-08-25,9.25
2010-08-26,9.45
2010-08-27,9.95
2010-08-30,10.149999999999999
2010-08-31,9.850000000000001
2010-09-01,10.0
2010-09-02,9.95
2010-09-03,9.8
2010-09-06,9.7
2010-09-07,9.75
2010-09-08,9.649999999999999
2010-09-09,9.7
2010-09-10,9.75
2010-09-13,9.75
2010-09-14,9.75
2010-09-15,9.8
2010-09-16,9.7
2010-09-17,9.8
2010-09-20,9.8
2010-09-21,10.0
2010-09-22,10.149999999999999
2010-09-23,10.0
2010-09-24,10.05
2010-09-27,10.399999999999999
2010-09-28,10.9
2010-09-29,11.0
2010-09-30,11.0
2010-10-01,11.3
2010-10-04,11.05
2010-10-05,10.7
2010-10-06,10.7
2010-10-07,10.7
2010-10-08,10.55
2010-10-11,10.55
2010-10-12,10.5
2010-10-13,10.55
2010-10-14,10.55
2010-10-15,10.399999999999999
2010-10-18,10.05
2010-10-19,10.0
